Offset,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl,,Notestime,NotesType,T or F,Vectl
,,,,,,,,,,,,,,,,147.9,1, ,3
,,,,,,,,,,,,,,,,148.2,1, ,1
,,,,,,,,,,,,,,,,148.425,1, ,2
,,,,,,,,,,,,,,,,148.65,1, ,8
,,,,,,,,,,,,,,,,149.1,1, ,4
,,,,,,,,,,,,,,,,149.325,1, ,5
,,,,,,,,,,,,,,,,149.55,1, ,3
,,,,,,,,,,,,,,,,149.7,1, ,8
,,,,,,,,,,,,,,,,149.85,1, ,4
,,,,,,,,,,,,,,,,150,1, ,6
,,,,,,,,,,,,,,,,150.1,1, ,4
,,,,,,,,,,,,,,,,150.2,1, ,2
,,,,,,,,,,,,,,,,150.3,1, ,3
,,,,,,,,,,,,,,,,150.6,1, ,1
,,,,,,,,,,,,,,,,150.7,1, ,6
,,,,,,,,,,,,,,,,150.75,1, ,2
,,,,,,,,,,,,,,,,150.8,1, ,5
,,,,,,,,,,,,,,,,150.9,1, ,7
,,,,,,,,,,,,,,,,151,1, ,1
,,,,,,,,,,,,,,,,151.1,1, ,4
,,,,,,,,,,,,,,,,151.2,1, ,4
,,,,,,,,,,,,,,,,151.5,1, ,8
,,,,,,,,,,,,,,,,151.575,1, ,7
,,,,,,,,,,,,,,,,151.65,1, ,3
,,,,,,,,,,,,,,,,151.725,1, ,8
,,,,,,,,,,,,,,,,151.8,1, ,1
,,,,,,,,,,,,,,,,152.025,1, ,4
,,,,,,,,,,,,,,,,152.25,1, ,7
,,,,,,,,,,,,,,,,152.4,1, ,2
,,,,,,,,,,,,,,,,152.5,1, ,7
,,,,,,,,,,,,,,,,152.6,1, ,8
,,,,,,,,,,,,,,,,152.7,1, ,4
,,,,,,,,,,,,,,,,152.85,1, ,8
,,,,,,,,,,,,,,,,153.15,1, ,8
,,,,,,,,,,,,,,,,153.3,1, ,2
,,,,,,,,,,,,,,,,153.45,1, ,4
,,,,,,,,,,,,,,,,153.525,1, ,5
,,,,,,,,,,,,,,,,153.75,1, ,5
,,,,,,,,,,,,,,,,153.825,1, ,8
,,,,,,,,,,,,,,,,153.9,1, ,1
,,,,,,,,,,,,,,,,154.05,1, ,6
,,,,,,,,,,,,,,,,154.125,1, ,6
,,,,,,,,,,,,,,,,154.2,1, ,4
,,,,,,,,,,,,,,,,154.275,1, ,1
,,,,,,,,,,,,,,,,154.35,1, ,1
,,,,,,,,,,,,,,,,154.5,1, ,5
,,,,,,,,,,,,,,,,154.55,1, ,3
,,,,,,,,,,,,,,,,154.6,1, ,3
,,,,,,,,,,,,,,,,154.65,1, ,5
,,,,,,,,,,,,,,,,154.725,1, ,2
,,,,,,,,,,,,,,,,154.8,1, ,5
,,,,,,,,,,,,,,,,154.9,1, ,7
,,,,,,,,,,,,,,,,155,1, ,6
,,,,,,,,,,,,,,,,155.1,1, ,5
,,,,,,,,,,,,,,,,155.2,1, ,3
,,,,,,,,,,,,,,,,155.3,1, ,4
,,,,,,,,,,,,,,,,155.4,1, ,1
,,,,,,,,,,,,,,,,155.45,1, ,7
,,,,,,,,,,,,,,,,155.5,1, ,6
,,,,,,,,,,,,,,,,155.6,1, ,6
,,,,,,,,,,,,,,,,155.7,1, ,2
,,,,,,,,,,,,,,,,155.75,1, ,2
,,,,,,,,,,,,,,,,155.8,1, ,4
,,,,,,,,,,,,,,,,155.9,1, ,7
,,,,,,,,,,,,,,,,156.6,1, ,2
,,,,,,,,,,,,,,,,157.5,2, ,3
,,,,,,,,,,,,,,,,157.95,2, ,6
,,,,,,,,,,,,,,,,158.4,2, ,7
,,,,,,,,,,,,,,,,158.7,2, ,7
,,,,,,,,,,,,,,,,159,2, ,5
,,,,,,,,,,,,,,,,159.15,2, ,7
,,,,,,,,,,,,,,,,159.3,2, ,4
,,,,,,,,,,,,,,,,159.45,2, ,2
,,,,,,,,,,,,,,,,159.9,2, ,3
,,,,,,,,,,,,,,,,160.35,1, ,3
,,,,,,,,,,,,,,,,160.8,2, ,7
,,,,,,,,,,,,,,,,161.1,2, ,7
,,,,,,,,,,,,,,,,161.25,2, ,2
,,,,,,,,,,,,,,,,1000000,,,
